settlement-id,settlement-start-date,settlement-end-date,deposit-date,total-amount,currency,transaction-type,order-id,merchant-order-id,adjustment-id,shipment-id,marketplace-name,amount-type,amount-description,amount,fulfillment-id,posted-date,posted-date-time,order-item-code,merchant-order-item-id,merchant-adjustment-item-id,sku,quantity-purchased,promotion-id
6200702661,2016-10-03 13:56:18 UTC,2016-10-17 13:55:07 UTC,2016-10-19 13:55:07 UTC,28636.97,USD,,,,,,,,,,,,,,,,,,
6200702661,,,,,,Order,112-2337018-9206664,112-2337018-9206664,,Dkv4fFXgR,Amazon.com,ItemPrice,Principal,19.99,AFN,2016-10-03,2016-10-03 14:54:44 UTC,18589953361674,,,04_27_2015_62_78686,1,
6200702661,,,,,,Order,112-2337018-9206664,112-2337018-9206664,,Dkv4fFXgR,Amazon.com,ItemFees,FBAPerOrderFulfillmentFee,-1.00,AFN,2016-10-03,2016-10-03 14:54:44 UTC,18589953361674,,,04_27_2015_62_78686,1,
6200702661,,,,,,Order,112-2337018-9206664,112-2337018-9206664,,Dkv4fFXgR,Amazon.com,ItemFees,FBAPerUnitFulfillmentFee,-1.06,AFN,2016-10-03,2016-10-03 14:54:44 UTC,18589953361674,,,04_27_2015_62_78686,1,
6200702661,,,,,,Order,112-2337018-9206664,112-2337018-9206664,,Dkv4fFXgR,Amazon.com,ItemFees,FBAWeightBasedFee,-2.34,AFN,2016-10-03,2016-10-03 14:54:44 UTC,18589953361674,,,04_27_2015_62_78686,1,
6200702661,,,,,,Order,112-2337018-9206664,112-2337018-9206664,,Dkv4fFXgR,Amazon.com,ItemFees,Commission,-3.00,AFN,2016-10-03,2016-10-03 14:54:44 UTC,18589953361674,,,04_27_2015_62_78686,1,
6200702661,,,,,,Order,116-3493538-0387409,116-3493538-0387409,,D15lSQt1b,Amazon.com,ItemPrice,Principal,46.99,AFN,2016-10-17,2016-10-17 13:04:08 UTC,60580206927690,,,12_02_2015_40,1,
6200702661,,,,,,Order,116-3493538-0387409,116-3493538-0387409,,D15lSQt1b,Amazon.com,ItemFees,FBAPerUnitFulfillmentFee,-4.09,AFN,2016-10-17,2016-10-17 13:04:08 UTC,60580206927690,,,12_02_2015_40,1,
6200702661,,,,,,Order,116-3493538-0387409,116-3493538-0387409,,D15lSQt1b,Amazon.com,ItemFees,FBAWeightBasedFee,-10.64,AFN,2016-10-17,2016-10-17 13:04:08 UTC,60580206927690,,,12_02_2015_40,1,
6200702661,,,,,,Order,116-3493538-0387409,116-3493538-0387409,,D15lSQt1b,Amazon.com,ItemFees,Commission,-7.05,AFN,2016-10-17,2016-10-17 13:04:08 UTC,60580206927690,,,12_02_2015_40,1,
6200702661,,,,,,Order,105-1706553-0777058,105-1706553-0777058,,Dq9t1dfxH,Amazon.com,ItemPrice,Principal,34.99,AFN,2016-10-17,2016-10-17 12:44:31 UTC,07836145180482,,,05_31_2016_6_28036,1,
